code,subdistrict,district,province
100101,"แขวง พระบรมมหาราชวัง","เขต พระนคร",กรุงเทพมหานคร
100102,"แขวง วังบูรพาภิรมย์","เขต พระนคร",กรุงเทพมหานคร
100103,"แขวง วัดราชบพิธ","เขต พระนคร",กรุงเทพมหานคร
100104,"แขวง สำราญราษฎร์","เขต พระนคร",กรุงเทพมหานคร
100105,"แขวง ศาลเจ้าพ่อเสือ","เขต พระนคร",กรุงเทพมหานคร
100106,"แขวง เสาชิงช้า","เขต พระนคร",กรุงเทพมหานคร
100107,"แขวง บวรนิเวศ","เขต พระนคร",กรุงเทพมหานคร
100108,"แขวง ตลาดยอด","เขต พระนคร",กรุงเทพมหานคร
100109,"แขวง ชนะสงคราม","เขต พระนคร",กรุงเทพมหานคร
100110,"แขวง บ้านพานถม","เขต พระนคร",กรุงเทพมหานคร
100111,"แขวง บางขุนพรหม","เขต พระนคร",กรุงเทพมหานคร
100112,"แขวง วัดสามพระยา","เขต พระนคร",กรุงเทพมหานคร
100201,"แขวง ดุสิต","เขต ดุสิต",กรุงเทพมหานคร
100202,"แขวง วชิรพยาบาล","เขต ดุสิต",กรุงเทพมหานคร
100203,"แขวง สวนจิตรลดา","เขต ดุสิต",กรุงเทพมหานคร
100204,"แขวง สี่แยกมหานาค","เขต ดุสิต",กรุงเทพมหานคร
100206,"แขวง ถนนนครไชยศรี","เขต ดุสิต",กรุงเทพมหานคร
100301,"แขวง กระทุ่มราย","เขต หนองจอก",กรุงเทพมหานคร
100302,"แขวง หนองจอก","เขต หนองจอก",กรุงเทพมหานคร
100303,"แขวง คลองสิบ","เขต หนองจอก",กรุงเทพมหานคร
100304,"แขวง คลองสิบสอง","เขต หนองจอก",กรุงเทพมหานคร
100305,"แขวง โคกแฝด","เขต หนองจอก",กรุงเทพมหานคร
100306,"แขวง คู้ฝั่งเหนือ","เขต หนองจอก",กรุงเทพมหานคร
100307,"แขวง ลำผักชี","เขต หนองจอก",กรุงเทพมหานคร
100308,"แขวง ลำต้อยติ่ง","เขต หนองจอก",กรุงเทพมหานคร
100401,"แขวง มหาพฤฒาราม","เขต บางรัก",กรุงเทพมหานคร
100402,"แขวง สีลม","เขต บางรัก",กรุงเทพมหานคร
100403,"แขวง สุริยวงศ์","เขต บางรัก",กรุงเทพมหานคร
100404,"แขวง บางรัก","เขต บางรัก",กรุงเทพมหานคร
100405,"แขวง สี่พระยา","เขต บางรัก",กรุงเทพมหานคร
100502,"แขวง อนุสาวรีย์","เขต บางเขน",กรุงเทพมหานคร
100508,"แขวง ท่าแร้ง","เขต บางเขน",กรุงเทพมหานคร
100601,"แขวง คลองจั่น","เขต บางกะปิ",กรุงเทพมหานคร
100608,"แขวง หัวหมาก","เขต บางกะปิ",กรุงเทพมหานคร
100701,"แขวง รองเมือง","เขต ปทุมวัน",กรุงเทพมหานคร
100702,"แขวง วังใหม่","เขต ปทุมวัน",กรุงเทพมหานคร
100703,"แขวง ปทุมวัน","เขต ปทุมวัน",กรุงเทพมหานคร
100704,"แขวง ลุมพินี","เขต ปทุมวัน",กรุงเทพมหานคร
100801,"แขวง ป้อมปราบ","เขต ป้อมปราบศัตรูพ่าย",กรุงเทพมหานคร
100802,"แขวง วัดเทพศิรินทร์","เขต ป้อมปราบศัตรูพ่าย",กรุงเทพมหานคร
100803,"แขวง คลองมหานาค","เขต ป้อมปราบศัตรูพ่าย",กรุงเทพมหานคร
100804,"แขวง บ้านบาตร","เขต ป้อมปราบศัตรูพ่าย",กรุงเทพมหานคร
100805,"แขวง วัดโสมนัส","เขต ป้อมปราบศัตรูพ่าย",กรุงเทพมหานคร
100905,"แขวง บางจาก","เขต พระโขนง",กรุงเทพมหานคร
101001,"แขวง มีนบุรี","เขต มีนบุรี",กรุงเทพมหานคร
101002,"แขวง แสนแสบ","เขต มีนบุรี",กรุงเทพมหานคร
101101,"แขวง ลาดกระบัง","เขต ลาดกระบัง",กรุงเทพมหานคร
101102,"แขวง คลองสองต้นนุ่น","เขต ลาดกระบัง",กรุงเทพมหานคร
101103,"แขวง คลองสามประเวศ","เขต ลาดกระบัง",กรุงเทพมหานคร
101104,"แขวง ลำปลาทิว","เขต ลาดกระบัง",กรุงเทพมหานคร
101105,"แขวง ทับยาว","เขต ลาดกระบัง",กรุงเทพมหานคร
101106,"แขวง ขุมทอง","เขต ลาดกระบัง",กรุงเทพมหานคร
101203,"แขวง ช่องนนทรี","เขต ยานนาวา",กรุงเทพมหานคร
101204,"แขวง บางโพงพาง","เขต ยานนาวา",กรุงเทพมหานคร
101301,"แขวง จักรวรรดิ","เขต สัมพันธวงศ์",กรุงเทพมหานคร
101302,"แขวง สัมพันธวงศ์","เขต สัมพันธวงศ์",กรุงเทพมหานคร
101303,"แขวง ตลาดน้อย","เขต สัมพันธวงศ์",กรุงเทพมหานคร
101401,"แขวง สามเสนใน","เขต พญาไท",กรุงเทพมหานคร
101501,"แขวง วัดกัลยาณ์","เขต ธนบุรี",กรุงเทพมหานคร
101502,"แขวง หิรัญรูจี","เขต ธนบุรี",กรุงเทพมหานคร
101503,"แขวง บางยี่เรือ","เขต ธนบุรี",กรุงเทพมหานคร
101504,"แขวง บุคคโล","เขต ธนบุรี",กรุงเทพมหานคร
101505,"แขวง ตลาดพลู","เขต ธนบุรี",กรุงเทพมหานคร
101601,"แขวง วัดอรุณ","เขต บางกอกใหญ่",กรุงเทพมหานคร
101602,"แขวง วัดท่าพระ","เขต บางกอกใหญ่",กรุงเทพมหานคร
101701,"แขวง ห้วยขวาง","เขต ห้วยขวาง",กรุงเทพมหานคร
101702,"แขวง บางกะปิ","เขต ห้วยขวาง",กรุงเทพมหานคร
101704,"แขวง สามเสนนอก","เขต ห้วยขวาง",กรุงเทพมหานคร
101801,"แขวง สมเด็จเจ้าพระยา","เขต คลองสาน",กรุงเทพมหานคร
101802,"แขวง คลองสาน","เขต คลองสาน",กรุงเทพมหานคร
101803,"แขวง บางลำภูล่าง","เขต คลองสาน",กรุงเทพมหานคร
101804,"แขวง คลองต้นไทร","เขต คลองสาน",กรุงเทพมหานคร
101901,"แขวง คลองชักพระ","เขต ตลิ่งชัน",กรุงเทพมหานคร
101902,"แขวง ตลิ่งชัน","เขต ตลิ่งชัน",กรุงเทพมหานคร
101903,"แขวง ฉิมพลี","เขต ตลิ่งชัน",กรุงเทพมหานคร
101904,"แขวง บางพรม","เขต ตลิ่งชัน",กรุงเทพมหานคร
101905,"แขวง บางระมาด","เขต ตลิ่งชัน",กรุงเทพมหานคร
101907,"แขวง บางเชือกหนัง","เขต ตลิ่งชัน",กรุงเทพมหานคร
102004,"แขวง ศิริราช","เขต บางกอกน้อย",กรุงเทพมหานคร
102005,"แขวง บ้านช่างหล่อ","เขต บางกอกน้อย",กรุงเทพมหานคร
102006,"แขวง บางขุนนนท์","เขต บางกอกน้อย",กรุงเทพมหานคร
102007,"แขวง บางขุนศรี","เขต บางกอกน้อย",กรุงเทพมหานคร
102009,"แขวง อรุณอมรินทร์","เขต บางกอกน้อย",กรุงเทพมหานคร
102105,"แขวง ท่าข้าม","เขต บางขุนเทียน",กรุงเทพมหานคร
102107,"แขวง แสมดำ","เขต บางขุนเทียน",กรุงเทพมหานคร
102201,"แขวง บางหว้า","เขต ภาษีเจริญ",กรุงเทพมหานคร
102202,"แขวง บางด้วน","เขต ภาษีเจริญ",กรุงเทพมหานคร
102206,"แขวง บางจาก","เขต ภาษีเจริญ",กรุงเทพมหานคร
